evaluations raw_y
1 522.1400000000
5 556.0400000000
10 596.9500000000
20 603.4900000000
22 608.4400000000
23 618.2400000000
38 660.4300000000
338 -8.0000000000
evaluations raw_y
1 -27.0000000000
2 -2.0000000000
8 572.2500000000
10 608.2600000000
35 611.1900000000
51 621.3300000000
65 628.0900000000
74 635.8800000000
190 649.1500000000
496 -974.0000000000
evaluations raw_y
1 551.9100000000
12 563.5100000000
18 582.9700000000
26 593.2300000000
32 596.4200000000
36 619.5000000000
43 624.1900000000
50 630.4600000000
51 642.2700000000
65 647.4700000000
198 647.4700000000
209 653.7400000000
276 657.1400000000
442 665.4200000000
745 -6.0000000000
evaluations raw_y
1 -94.0000000000
2 -56.0000000000
3 -34.0000000000
4 -8.0000000000
9 604.2300000000
37 622.0600000000
45 623.9500000000
49 635.1000000000
113 647.4000000000
324 655.1000000000
461 655.7800000000
768 -762.0000000000
evaluations raw_y
1 -99.0000000000
2 -60.0000000000
3 -20.0000000000
4 551.0700000000
12 603.6100000000
29 617.3800000000
34 627.4100000000
72 631.0400000000
77 636.3900000000
216 642.3300000000
246 659.0200000000
555 -1.0000000000
evaluations raw_y
1 -33.0000000000
2 -7.0000000000
3 -5.0000000000
4 540.9600000000
32 547.2600000000
37 611.0800000000
45 612.9400000000
49 628.4200000000
356 -7.0000000000
evaluations raw_y
1 -36.0000000000
2 -9.0000000000
7 565.9800000000
9 603.2000000000
12 624.1300000000
23 642.2500000000
30 647.0100000000
35 651.0100000000
37 652.0600000000
38 682.7800000000
44 752.4600000000
67 757.3300000000
72 758.4000000000
78 769.2100000000
142 773.4000000000
196 777.9600000000
438 782.2000000000
744 -2.0000000000
evaluations raw_y
1 -50.0000000000
2 -20.0000000000
3 529.4100000000
8 564.1500000000
26 600.0000000000
29 616.9900000000
47 619.8600000000
67 639.5000000000
233 648.5800000000
297 653.8700000000
565 654.3300000000
584 660.6200000000
611 663.6500000000
912 -2.0000000000
evaluations raw_y
1 -92.0000000000
2 -54.0000000000
4 -34.0000000000
5 -25.0000000000
6 578.1500000000
46 579.9000000000
51 591.8000000000
59 604.5200000000
61 613.3500000000
70 639.8900000000
131 644.2100000000
435 -2.0000000000
evaluations raw_y
1 -9.0000000000
2 524.4100000000
6 604.6700000000
22 627.1500000000
48 628.1900000000
61 643.4900000000
131 644.1800000000
142 647.8700000000
189 648.9500000000
258 651.8200000000
306 653.5400000000
325 678.8700000000
626 -4.0000000000
evaluations raw_y
1 -66.0000000000
2 -33.0000000000
5 574.8800000000
13 606.7800000000
34 620.3200000000
45 624.8000000000
63 626.2200000000
64 633.0800000000
69 640.3900000000
73 646.6400000000
107 652.4300000000
168 655.9400000000
223 656.6600000000
531 -2.0000000000
evaluations raw_y
1 -6.0000000000
2 543.5300000000
5 609.5500000000
30 640.2700000000
40 645.2000000000
84 658.3800000000
176 661.5000000000
478 -13.0000000000
evaluations raw_y
1 -6.0000000000
2 522.9400000000
8 526.7100000000
14 577.6200000000
21 596.4300000000
30 633.4200000000
49 646.2700000000
52 670.9800000000
61 671.8500000000
76 686.1500000000
130 687.9500000000
438 -25.0000000000
evaluations raw_y
1 -44.0000000000
2 -16.0000000000
3 -9.0000000000
4 640.0200000000
21 678.7300000000
33 679.3600000000
39 685.2500000000
45 712.7400000000
61 719.9400000000
69 731.7700000000
70 735.0300000000
374 -1.0000000000
evaluations raw_y
1 -71.0000000000
2 -37.0000000000
5 -6.0000000000
6 536.0700000000
8 568.4700000000
10 580.7000000000
16 584.8900000000
22 585.1100000000
29 599.9600000000
33 609.4700000000
34 618.2000000000
47 630.8700000000
68 632.0600000000
368 -6.0000000000
evaluations raw_y
1 -50.0000000000
2 -20.0000000000
3 551.9900000000
4 590.6500000000
7 594.9800000000
11 601.6800000000
26 611.9400000000
30 629.4200000000
45 632.4100000000
57 633.1200000000
64 735.0600000000
98 747.5800000000
406 -7.0000000000
evaluations raw_y
1 -56.0000000000
2 -25.0000000000
4 -3.0000000000
5 -1.0000000000
6 513.2200000000
8 521.1400000000
10 591.2200000000
52 596.5600000000
81 598.1800000000
90 609.6500000000
235 614.9800000000
431 615.7100000000
570 616.9000000000
575 633.0000000000
876 -1.0000000000
evaluations raw_y
1 -58.0000000000
2 -27.0000000000
5 -13.0000000000
6 569.6900000000
9 578.6400000000
25 588.8000000000
26 593.9700000000
29 595.8400000000
34 600.4000000000
87 604.9900000000
100 606.7400000000
106 609.6900000000
127 611.7100000000
198 612.1000000000
428 614.7500000000
732 -2.0000000000
evaluations raw_y
1 -72.0000000000
2 -38.0000000000
5 630.0200000000
7 665.9400000000
17 732.7300000000
325 -2.0000000000
evaluations raw_y
1 -7.0000000000
2 568.6000000000
18 608.8800000000
22 610.7600000000
40 628.0800000000
41 638.1400000000
46 650.1800000000
55 651.6900000000
61 663.4500000000
67 689.9500000000
72 707.2400000000
77 716.9200000000
131 743.0800000000
147 753.7100000000
450 -9.0000000000
evaluations raw_y
1 564.4700000000
17 695.8500000000
52 710.0500000000
116 717.6400000000
247 723.3100000000
547 -11.0000000000
evaluations raw_y
1 -33.0000000000
2 -7.0000000000
4 -2.0000000000
6 669.5100000000
37 720.0300000000
45 723.2300000000
92 727.9600000000
110 736.9200000000
275 737.4700000000
577 -1.0000000000
evaluations raw_y
1 -94.0000000000
2 -56.0000000000
3 509.9300000000
4 521.7600000000
5 681.5200000000
26 682.0200000000
28 698.8900000000
52 710.7200000000
67 722.8600000000
71 739.0300000000
323 741.2700000000
448 753.0500000000
725 753.9800000000
811 765.9700000000
1053 773.6700000000
1355 -1.0000000000
evaluations raw_y
1 -24.0000000000
2 599.6000000000
6 643.7900000000
21 685.5100000000
49 693.1100000000
53 693.2400000000
59 709.3300000000
83 722.2500000000
197 797.8400000000
330 802.0100000000
340 827.0400000000
389 827.6100000000
692 -1.0000000000
evaluations raw_y
1 -41.0000000000
2 -13.0000000000
3 560.4100000000
8 570.2900000000
22 579.0600000000
25 579.0800000000
28 602.1600000000
40 625.9500000000
44 643.0400000000
54 644.1000000000
70 650.5900000000
142 668.6800000000
446 -48.0000000000
evaluations raw_y
1 -6.0000000000
2 526.9500000000
8 600.2900000000
24 608.0000000000
27 609.5400000000
32 611.6800000000
36 613.7300000000
74 633.9000000000
98 647.5700000000
402 -1.0000000000
evaluations raw_y
1 -76.0000000000
2 -41.0000000000
3 -37.0000000000
4 -10.0000000000
6 587.7300000000
9 636.6000000000
31 646.7000000000
36 720.3500000000
42 734.6800000000
52 737.4900000000
57 742.2200000000
76 744.7200000000
109 750.4800000000
123 759.2600000000
428 -3.0000000000
evaluations raw_y
1 -29.0000000000
