evaluations raw_y
1 385.0000000000
18 386.0000000000
68 394.0000000000
204 401.0000000000
389 403.0000000000
441 406.0000000000
561 411.0000000000
868 -1.0000000000
evaluations raw_y
1 -3.0000000000
2 -1.0000000000
3 373.0000000000
19 394.0000000000
137 399.0000000000
314 402.0000000000
620 -1.0000000000
evaluations raw_y
1 -4.0000000000
2 -2.0000000000
5 347.0000000000
8 367.0000000000
18 377.0000000000
40 380.0000000000
61 384.0000000000
142 388.0000000000
307 392.0000000000
616 -1.0000000000
evaluations raw_y
1 370.0000000000
11 387.0000000000
67 393.0000000000
94 398.0000000000
147 401.0000000000
447 -2.0000000000
evaluations raw_y
1 -3.0000000000
2 -1.0000000000
3 344.0000000000
6 362.0000000000
29 373.0000000000
42 375.0000000000
54 377.0000000000
77 384.0000000000
361 393.0000000000
554 402.0000000000
855 -1.0000000000
evaluations raw_y
1 -1.0000000000
2 374.0000000000
28 405.0000000000
349 -6.0000000000
evaluations raw_y
1 -9.0000000000
2 -6.0000000000
3 -3.0000000000
4 -1.0000000000
20 361.0000000000
23 394.0000000000
344 -1.0000000000
evaluations raw_y
1 -10.0000000000
2 -6.0000000000
4 -4.0000000000
7 356.0000000000
8 361.0000000000
10 387.0000000000
12 391.0000000000
77 393.0000000000
103 398.0000000000
408 -103.0000000000
evaluations raw_y
1 -11.0000000000
2 -7.0000000000
4 -6.0000000000
5 -1.0000000000
6 361.0000000000
7 371.0000000000
10 378.0000000000
34 389.0000000000
40 392.0000000000
162 393.0000000000
241 395.0000000000
330 398.0000000000
634 -2.0000000000
evaluations raw_y
1 -1.0000000000
2 374.0000000000
14 388.0000000000
334 -5.0000000000
evaluations raw_y
1 -10.0000000000
2 -6.0000000000
3 387.0000000000
49 396.0000000000
87 397.0000000000
227 399.0000000000
424 402.0000000000
458 407.0000000000
559 411.0000000000
670 417.0000000000
979 -3.0000000000
evaluations raw_y
1 -10.0000000000
2 -6.0000000000
3 -5.0000000000
4 -2.0000000000
5 -1.0000000000
6 385.0000000000
11 397.0000000000
26 407.0000000000
327 -112.0000000000
evaluations raw_y
1 -1.0000000000
2 381.0000000000
9 388.0000000000
13 389.0000000000
26 392.0000000000
27 399.0000000000
34 402.0000000000
341 -1.0000000000
evaluations raw_y
1 -9.0000000000
2 -6.0000000000
3 -5.0000000000
4 -2.0000000000
9 363.0000000000
17 387.0000000000
20 392.0000000000
23 393.0000000000
27 399.0000000000
323 407.0000000000
623 -18.0000000000
evaluations raw_y
1 389.0000000000
40 401.0000000000
58 403.0000000000
366 -11.0000000000
evaluations raw_y
1 -11.0000000000
2 -7.0000000000
3 -3.0000000000
4 -1.0000000000
8 378.0000000000
21 383.0000000000
30 392.0000000000
42 394.0000000000
244 406.0000000000
546 -2.0000000000
evaluations raw_y
1 365.0000000000
11 371.0000000000
18 377.0000000000
23 388.0000000000
76 393.0000000000
330 400.0000000000
418 402.0000000000
564 406.0000000000
610 410.0000000000
915 -3.0000000000
evaluations raw_y
1 -11.0000000000
2 -7.0000000000
4 -6.0000000000
5 378.0000000000
22 391.0000000000
23 395.0000000000
199 397.0000000000
504 -2.0000000000
evaluations raw_y
1 -7.0000000000
2 -4.0000000000
3 395.0000000000
47 396.0000000000
198 401.0000000000
251 406.0000000000
551 408.0000000000
654 411.0000000000
956 -56.0000000000
evaluations raw_y
1 377.0000000000
4 388.0000000000
6 391.0000000000
38 398.0000000000
334 408.0000000000
378 412.0000000000
687 -1.0000000000
evaluations raw_y
1 372.0000000000
2 373.0000000000
13 382.0000000000
37 383.0000000000
52 391.0000000000
128 392.0000000000
129 396.0000000000
433 -71.0000000000
evaluations raw_y
1 369.0000000000
15 374.0000000000
17 376.0000000000
20 407.0000000000
339 -1.0000000000
evaluations raw_y
1 399.0000000000
56 402.0000000000
180 406.0000000000
395 407.0000000000
697 -3.0000000000
evaluations raw_y
1 -4.0000000000
2 -2.0000000000
3 403.0000000000
333 -1.0000000000
evaluations raw_y
1 -11.0000000000
2 -7.0000000000
4 -5.0000000000
5 -4.0000000000
6 -2.0000000000
9 360.0000000000
10 376.0000000000
12 381.0000000000
45 386.0000000000
72 389.0000000000
148 399.0000000000
384 401.0000000000
688 -1.0000000000
evaluations raw_y
1 -3.0000000000
2 -1.0000000000
8 374.0000000000
13 384.0000000000
23 389.0000000000
117 397.0000000000
208 400.0000000000
516 -1.0000000000
evaluations raw_y
1 353.0000000000
2 358.0000000000
6 390.0000000000
94 393.0000000000
380 394.0000000000
688 -1.0000000000
evaluations raw_y
1 -9.0000000000
2 -6.0000000000
4 -4.0000000000
5 -1.0000000000
6 351.0000000000
9 377.0000000000
17 384.0000000000
26 390.0000000000
38 398.0000000000
339 -1.0000000000
evaluations raw_y
1 -6.0000000000
2 -3.0000000000
4 -2.0000000000
6 371.0000000000
9 383.0000000000
18 404.0000000000
199 408.0000000000
346 413.0000000000
466 418.0000000000
774 -1.0000000000
evaluations raw_y
1 -4.0000000000
2 -2.0000000000
3 -1.0000000000
4 372.0000000000
7 376.0000000000
14 391.0000000000
31 394.0000000000
50 405.0000000000
53 407.0000000000
356 -5.0000000000
